billid,customerid,monthid,billedamount
479,236,20091,14663
480,237,20091,11293
481,238,20091,10971
482,239,20091,99
483,240,20091,10865
484,241,20091,4144
485,89,20091,13407
486,242,20091,7293
487,243,20091,13855
488,244,20091,10629
489,245,20091,3626
490,246,20091,18303
491,247,20091,18521
492,248,20091,6836
493,983,20091,9254
494,227,20091,5405
495,88,20091,412
496,226,20091,16967
497,225,20091,9736
498,204,20091,19191
499,205,20091,18400
500,206,20091,11893
501,207,20091,11312
502,986,20091,491
503,208,20091,6847
504,209,20091,5231
505,93,20091,8820
506,210,20091,3699
507,211,20091,11105
508,212,20091,6555
509,213,20091,16680
510,214,20091,2133
511,215,20091,19008
512,216,20091,11172
513,217,20091,12332
514,92,20091,9257
515,218,20091,1519
516,219,20091,6782
517,220,20091,14860
518,221,20091,14354
519,985,20091,2851
520,222,20091,4783
521,223,20091,19891
522,224,20091,19750
523,91,20091,8037
524,203,20091,9195
525,249,20091,19929
526,251,20091,6459
527,981,20091,18431
528,277,20091,2992
529,278,20091,3359
530,279,20091,12580
531,280,20091,727
532,84,20091,158
533,281,20091,13820
534,995,20091,6559
535,282,20091,14512
536,283,20091,2262
537,284,20091,16527
538,285,20091,3596
539,286,20091,2193
540,287,20091,16314
541,288,20091,7618
542,83,20091,4511
543,289,20091,4671
544,290,20091,12795
545,980,20091,12712
546,291,20091,5316
547,292,20091,13701
548,293,20091,17776
549,294,20091,7400
550,295,20091,17422
551,296,20091,5904
552,276,20091,9740
553,250,20091,7556
554,275,20091,14602
555,85,20091,11630
556,252,20091,15211
557,253,20091,4798
558,254,20091,447
559,255,20091,6429
560,256,20091,5922
561,257,20091,10271
562,87,20091,6901
563,258,20091,10797
564,259,20091,3568
565,260,20091,11940
566,261,20091,18183
567,262,20091,3697
568,982,20091,1109
569,263,20091,5366
570,264,20091,6115
571,86,20091,14520
572,265,20091,13604
573,266,20091,5434
574,267,20091,12186
575,268,20091,17867
576,269,20091,17372
577,270,20091,16356
578,271,20091,6861
579,272,20091,799
580,273,20091,17659
581,274,20091,14690
582,202,20091,9818
583,94,20091,15832
584,201,20091,6335
585,103,20091,16649
586,132,20091,18548
587,133,20091,10904
588,134,20091,15888
589,135,20091,15527
590,136,20091,4061
591,137,20091,14507
592,138,20091,5803
593,102,20091,16807
594,991,20091,14917
595,139,20091,5550
596,140,20091,15137
597,141,20091,2520
598,142,20091,3619
599,143,20091,7655
600,144,20091,2371
601,145,20091,6702
602,146,20091,15878
603,147,20091,17044
604,101,20091,578
605,148,20091,19294
606,149,20091,19078
607,150,20091,11608
608,151,20091,18081
609,152,20091,4719
610,131,20091,5205
611,990,20091,4202
612,130,20091,19406
613,128,20091,18019
614,106,20091,7516
615,108,20091,12898
616,109,20091,8206
617,110,20091,16110
618,993,20091,16963
619,111,20091,1584
620,112,20091,11862
621,113,20091,16984
622,114,20091,13157
623,115,20091,11185
624,105,20091,15073
625,116,20091,12477
626,117,20091,3462
627,118,20091,10663
628,119,20091,13146
629,120,20091,9899
630,121,20091,4319
631,122,20091,15731
632,123,20091,5468
633,104,20091,6105
634,124,20091,5242
635,992,20091,1175
636,125,20091,13915
637,126,20091,8037
638,127,20091,8295
639,129,20091,2279
640,153,20091,11155
641,154,20091,12946
642,100,20091,14855
643,988,20091,13069
644,180,20091,16549
645,181,20091,1784
646,182,20091,14073
647,183,20091,7196
648,184,20091,14471
649,185,20091,17396
650,186,20091,18272
651,96,20091,16253
652,187,20091,4347
653,188,20091,3167
654,189,20091,9768
655,190,20091,19599
656,191,20091,10154
657,192,20091,9789
658,193,20091,7321
659,95,20091,9153
660,987,20091,6822
661,194,20091,10439
662,195,20091,9555
663,196,20091,12956
664,197,20091,16423
665,198,20091,18383
666,199,20091,13861
667,200,20091,9362
668,179,20091,4907
669,97,20091,17439
670,178,20091,9806
671,177,20091,2539
672,155,20091,3527
673,156,20091,13352
674,157,20091,17165
675,158,20091,7748
676,159,20091,2902
677,160,20091,12542
678,161,20091,10580
679,162,20091,3633
680,163,20091,6430
681,99,20091,891
682,164,20091,4863
683,165,20091,16180
684,82,20091,16798
685,166,20091,12509
686,167,20091,18100
687,168,20091,8353
688,169,20091,11623
689,170,20091,15439
690,98,20091,5082
691,171,20091,2531
692,994,20091,18687
693,172,20091,16285
694,173,20091,11585
695,174,20091,18924
696,175,20091,9728
697,176,20091,7880
698,989,20091,19662
699,297,20091,16577
700,298,20091,11882
701,299,20091,840
702,421,20091,12644
703,422,20091,5129
704,66,20091,18446
705,423,20091,18696
706,424,20091,15508
707,425,20091,8422
708,426,20091,10264
709,427,20091,2935
710,970,20091,5569
711,428,20091,17413
712,429,20091,17472
713,65,20091,13056
714,430,20091,4217
715,431,20091,17632
716,432,20091,7721
717,433,20091,13433
718,434,20091,8063
719,435,20091,4327
720,436,20091,3635
721,437,20091,52
722,438,20091,4584
723,64,20091,7923
724,439,20091,690
725,440,20091,17058
726,441,20091,6713
727,420,20091,12952
728,969,20091,6818
729,419,20091,6955
730,417,20091,3063
731,397,20091,17885
732,398,20091,18919
733,69,20091,3412
734,399,20091,17981
735,400,20091,9589
736,972,20091,5023
737,401,20091,2119
738,402,20091,18716
739,403,20091,17223
740,404,20091,551
741,405,20091,4662
742,406,20091,5446
743,68,20091,19740
744,407,20091,12352
745,408,20091,667
746,409,20091,15445
747,410,20091,9437
748,411,20091,10122
749,412,20091,5659
750,413,20091,9832
751,67,20091,14128
752,414,20091,10158
753,971,20091,6067
754,415,20091,2985
755,416,20091,17624
756,418,20091,11655
757,442,20091,5409
758,443,20091,270
759,444,20091,3399
760,967,20091,4586
761,470,20091,5463
762,471,20091,12770
763,472,20091,1155
764,473,20091,19373
765,474,20091,1301
766,475,20091,12656
767,476,20091,10002
768,477,20091,2915
769,59,20091,7129
770,478,20091,14506
771,479,20091,2543
772,480,20091,6189
773,481,20091,6675
774,482,20091,8163
775,966,20091,19839
776,483,20091,2541
777,484,20091,11884
778,485,20091,15500
779,58,20091,12646
780,486,20091,7923
781,487,20091,2910
782,488,20091,14085
783,489,20091,11226
784,490,20091,5213
785,60,20091,17254
786,469,20091,16943
787,468,20091,1757
788,467,20091,11183
789,445,20091,11349
790,63,20091,137
791,446,20091,18991
792,447,20091,17242
793,448,20091,8495
794,449,20091,14397
795,450,20091,2327
796,451,20091,13258
797,452,20091,5790
798,453,20091,18020
799,454,20091,18020
800,62,20091,679
801,396,20091,17988
802,455,20091,1539
803,456,20091,11116
804,457,20091,10018
805,458,20091,19763
806,459,20091,8854
807,460,20091,17018
808,461,20091,8663
809,61,20091,6022
810,462,20091,10304
811,463,20091,3742
812,464,20091,16100
813,465,20091,872
814,466,20091,17459
815,968,20091,334
816,492,20091,13306
817,395,20091,11876
818,393,20091,11671
819,324,20091,772
820,325,20091,7088
821,326,20091,14957
822,327,20091,18689
823,328,20091,13678
824,78,20091,13793
825,329,20091,18437
826,330,20091,15699
827,331,20091,5809
828,977,20091,9297
829,332,20091,5099
830,333,20091,3003
831,334,20091,662
832,335,20091,7541
833,77,20091,15377
834,336,20091,17558
835,337,20091,11870
836,338,20091,7179
837,339,20091,1123
838,340,20091,14302
839,341,20091,4974
840,342,20091,15178
841,343,20091,12403
842,76,20091,10108
843,344,20091,19134
844,323,20091,8509
845,345,20091,16411
846,322,20091,5432
847,320,20091,2819
848,300,20091,104
849,301,20091,283
850,302,20091,14827
851,303,20091,6416
852,81,20091,11418
853,979,20091,6971
854,304,20091,1004
855,305,20091,1217
856,306,20091,11844
857,307,20091,7495
858,308,20091,8165
859,309,20091,8966
860,310,20091,10069
861,311,20091,10976
862,312,20091,1056
863,80,20091,14491
864,313,20091,7134
865,314,20091,4921
866,315,20091,19163
867,316,20091,1602
868,317,20091,6726
869,978,20091,3652
870,318,20091,5556
871,319,20091,10774
872,79,20091,2612
873,321,20091,8592
874,976,20091,7263
875,346,20091,18977
876,347,20091,13484
877,373,20091,11288
878,374,20091,18151
879,375,20091,2249
880,72,20091,7094
881,376,20091,7089
882,377,20091,6422
883,378,20091,16391
884,379,20091,9704
885,380,20091,7939
886,381,20091,8933
887,382,20091,3728
888,383,20091,7819
889,71,20091,16180
890,384,20091,10507
891,385,20091,15359
892,386,20091,8103
893,973,20091,4813
894,387,20091,17980
895,388,20091,3321
896,389,20091,3332
897,390,20091,7163
898,391,20091,2592
899,70,20091,15097
900,996,20091,19920
901,392,20091,15042
902,974,20091,4527
903,372,20091,3041
904,371,20091,4415
905,370,20091,5326
906,348,20091,8109
907,349,20091,9502
908,350,20091,15070
909,351,20091,9044
910,75,20091,3925
911,352,20091,2156
912,353,20091,12909
913,354,20091,12217
914,355,20091,8360
915,356,20091,909
916,357,20091,17347
917,358,20091,4866
918,394,20091,16220
919,975,20091,691
920,74,20091,3138
921,360,20091,5378
922,361,20091,17083
923,362,20091,19932
924,363,20091,2310
925,364,20091,6976
926,365,20091,16196
927,366,20091,15666
928,367,20091,4258
929,73,20091,10556
930,368,20091,18248
931,369,20091,1490
932,359,20091,10957
933,878,20091,16214
934,107,20091,16352
935,905,20091,6602
936,933,20091,18685
937,899,20091,14880
938,923,20091,14320
939,922,20091,6336
940,3,20091,16424
941,911,20091,8866
942,882,20091,9695
943,884,20091,18971
944,913,20091,5885
945,924,20091,14464
946,887,20091,18627
947,937,20091,10266
948,885,20091,12887
949,907,20091,5937
950,886,20091,8583
951,903,20091,5304
952,914,20091,5851
953,935,20091,1649
954,932,20091,4282
955,912,20091,8955
956,900,20091,2026
957,934,20091,6556
958,904,20091,11607
959,902,20091,7203
960,901,20091,5212
961,5,20091,11176
962,936,20091,1138
963,7,20091,1773
964,917,20091,19777
965,891,20091,467
966,926,20091,4750
967,893,20091,13786
968,880,20091,14531
969,930,20091,5311
970,910,20091,18097
971,918,20091,13477
972,921,20091,6883
973,906,20091,4898
974,916,20091,8150
975,4,20091,148
976,928,20091,1136
977,909,20091,11021
978,883,20091,17972
979,879,20091,11799
980,915,20091,4234
981,925,20091,3568
982,897,20091,16769
983,927,20091,5125
984,6,20091,6470
985,892,20091,11717
986,929,20091,13538
987,2,20091,2533
988,881,20091,3350
989,888,20091,12177
990,908,20091,5514
991,895,20091,12605
992,896,20091,7387
993,931,20091,9352
994,920,20091,19187
995,898,20091,602
996,894,20091,4153
997,889,20091,16138
998,8,20091,989
999,919,20091,18670
1000,890,20091,14778
1001,974,200910,8253
1002,239,200910,10192
1003,579,200910,11738
1004,236,200910,4475
1005,506,200910,7847
1006,7,200910,12824
1007,238,200910,11825
1008,371,200910,18111
1009,237,200910,16751
1010,683,200910,7906
1011,580,200910,15275
1012,372,200910,9090
1013,502,200910,1363
1014,231,200910,12960
1015,375,200910,6488
1016,583,200910,15954
1017,941,200910,11521
1018,72,200910,17884
1019,232,200910,9528
1020,503,200910,19520
1021,826,200910,3005
1022,582,200910,4834
1023,233,200910,13987
1024,22,200910,767
1025,374,200910,19132
1026,504,200910,8810
1027,914,200910,16114
1028,90,200910,7062
1029,581,200910,6984
1030,937,200910,7199
1031,984,200910,17257
1032,682,200910,3888
1033,373,200910,1623
1034,825,200910,19173
1035,234,200910,16338
1036,714,200910,6609
1037,768,200910,13610
1038,924,200910,10548
1039,235,200910,2016
1040,505,200910,14999
1041,899,200910,1155
1042,824,200910,15056
1043,769,200910,11786
1044,458,200910,6343
1045,892,200910,1173
1046,772,200910,2005
1047,250,200910,17259
1048,363,200910,12686
1049,573,200910,19992
1050,249,200910,10474
1051,819,200910,4287
1052,572,200910,11303
1053,509,200910,12490
1054,686,200910,18408
1055,88,200910,5338
1056,365,200910,12832
1057,574,200910,18486
1058,248,200910,17361
1059,997,200910,11570
1060,364,200910,7527
1061,983,200910,1323
1062,251,200910,1897
1063,818,200910,12475
1064,923,200910,14566
1065,510,200910,12448
1066,254,200910,14774
1067,571,200910,271
1068,817,200910,13082
1069,712,200910,1820
1070,362,200910,1039
1071,360,200910,13984
1072,361,200910,19343
1073,687,200910,1913
1074,915,200910,4698
1075,252,200910,9301
1076,964,200910,17665
1077,47,200910,11130
1078,253,200910,18175
1079,713,200910,10775
1080,820,200910,17865
1081,945,200910,19846
1082,242,200910,13642
1083,770,200910,11212
1084,684,200910,5851
1085,508,200910,13650
1086,584,200910,6839
1087,241,200910,11673
1088,578,200910,15426
1089,369,200910,15751
1090,89,200910,16039
1091,507,200910,3125
1092,15,200910,13895
1093,959,200910,5833
1094,370,200910,8170
1095,240,200910,13577
1096,823,200910,12541
1097,368,200910,1471
1098,822,200910,18181
1099,243,200910,19107
1100,575,200910,10913
1101,366,200910,9712
1102,247,200910,2852
1103,771,200910,1947
1104,246,200910,15254
1105,685,200910,10594
1106,29,200910,4006
1107,821,200910,5982
1108,576,200910,9946
1109,245,200910,4911
1110,73,200910,4441
1111,55,200910,19225
1112,367,200910,15064
1113,244,200910,16916
1114,577,200910,9327
1115,46,200910,4949
1116,767,200910,15480
1117,828,200910,5498
1118,715,200910,18124
1119,93,200910,14207
1120,835,200910,15332
1121,676,200910,10852
1122,595,200910,14845
1123,760,200910,19397
1124,70,200910,14106
1125,209,200910,5646
1126,208,200910,12573
1127,495,200910,3820
1128,718,200910,12714
1129,836,200910,18631
1130,597,200910,758
1131,391,200910,18825
1132,207,200910,16593
1133,596,200910,18259
1134,44,200910,11274
1135,390,200910,3842
1136,210,200910,12613
1137,387,200910,16646
1138,213,200910,13562
1139,388,200910,17647
1140,925,200910,3385
1141,677,200910,14392
1142,318,200910,7024
1143,212,200910,10300
1144,496,200910,11019
1145,761,200910,19544
1146,211,200910,12759
1147,834,200910,12772
1148,594,200910,11190
1149,389,200910,7401
1150,889,200910,18573
1151,965,200910,17130
1152,986,200910,601
1153,598,200910,6946
1154,392,200910,13051
1155,206,200910,11978
1156,94,200910,14368
1157,395,200910,6001
1158,952,200910,18326
1159,201,200910,8587
1160,493,200910,9271
1161,396,200910,13995
1162,200,200910,15686
1163,8,200910,10478
1164,602,200910,11570
1165,912,200910,13269
1166,397,200910,12994
1167,199,200910,3456
1168,839,200910,11601
1169,674,200910,16974
1170,492,200910,4818
1171,601,200910,4379
1172,833,200910,13039
1173,926,200910,17367
1174,13,200910,8889
1175,837,200910,1095
1176,494,200910,12114
1177,599,200910,16974
1178,393,200910,19149
1179,205,200910,10425
1180,23,200910,4676
1181,204,200910,4061
1182,675,200910,11081
1183,57,200910,17667
1184,203,200910,2579
1185,394,200910,4765
1186,838,200910,18686
1187,600,200910,9053
1188,202,200910,7735
1189,759,200910,7000
1190,719,200910,8911
1191,230,200910,6239
1192,593,200910,16009
1193,214,200910,9938
1194,905,200910,7653
1195,380,200910,13447
1196,45,200910,16278
1197,829,200910,16874
1198,500,200910,7314
1199,224,200910,16154
1200,91,200910,18410
1201,765,200910,19710
1202,680,200910,8444
1203,381,200910,6470
1204,223,200910,18271
1205,2,200910,4106
1206,222,200910,6023
1207,830,200910,9785
1208,716,200910,18467
1209,587,200910,12488
1210,225,200910,19588
1211,379,200910,5323
1212,585,200910,2785
1213,827,200910,12290
1214,376,200910,8920
1215,33,200910,19204
1216,229,200910,357
1217,377,200910,10918
1218,228,200910,14405
1219,501,200910,5553
1220,378,200910,12383
1221,56,200910,745
1222,227,200910,17466
1223,681,200910,12272
1224,766,200910,7416
1225,226,200910,16935
1226,586,200910,13100
1227,588,200910,19139
1228,382,200910,13287
1229,589,200910,18266
1230,14,200910,10976
1231,498,200910,2467
1232,881,200910,3630
1233,973,200910,10031
1234,217,200910,13010
1235,678,200910,13741
1236,913,200910,3162
1237,592,200910,15973
1238,216,200910,273
1239,386,200910,15747
1240,832,200910,1594
1241,497,200910,9940
1242,762,200910,11518
1243,215,200910,16748
1244,958,200910,3181
1245,717,200910,17357
1246,385,200910,2094
1247,898,200910,2503
1248,831,200910,19096
1249,591,200910,11991
1250,949,200910,1260
1251,221,200910,17992
1252,985,200910,17763
1253,764,200910,266
1254,679,200910,7799
1255,220,200910,9293
1256,71,200910,19811
1257,383,200910,3598
1258,590,200910,14459
1259,219,200910,5436
1260,499,200910,1151
1261,1000,200910,13450
1262,384,200910,11176
1263,763,200910,1359
1264,218,200910,4343
1265,92,200910,7225
1266,773,200910,3734
1267,258,200910,6646
1268,570,200910,3406
1269,298,200910,17249
1270,3,200910,13502
1271,30,200910,1976
1272,332,200910,1889
1273,297,200910,895
1274,697,200910,4444
1275,18,200910,7123
1276,883,200910,3530
1277,526,200910,18532
1278,82,200910,11590
1279,333,200910,19390
1280,50,200910,9012
1281,295,200910,2589
1282,548,200910,13638
1283,296,200910,15395
1284,785,200910,19452
1285,31,200910,8783
1286,299,200910,18860
1287,798,200910,5338
1288,329,200910,2197
1289,528,200910,2381
1290,301,200910,40
1291,545,200910,17772
1292,330,200910,12842
1293,943,200910,14484
1294,977,200910,1158
1295,300,200910,19473
1296,546,200910,12197
1297,527,200910,9252
1298,944,200910,6404
1299,799,200910,12092
1300,547,200910,14901
1301,331,200910,5198
1302,525,200910,15715
1303,294,200910,9673
1304,784,200910,14217
1305,549,200910,10907
1306,961,200910,6793
1307,289,200910,2485
1308,802,200910,4151
1309,5,200910,8372
1310,903,200910,14231
1311,337,200910,7552
1312,995,200910,14007
1313,695,200910,6725
1314,551,200910,18881
1315,83,200910,19374
1316,963,200910,3047
1317,803,200910,12547
1318,783,200910,286
1319,338,200910,4532
1320,288,200910,19710
1321,980,200910,1746
1322,544,200910,16139
1323,891,200910,11443
1324,290,200910,9719
1325,334,200910,7607
1326,800,200910,9395
1327,293,200910,19598
1328,524,200910,14418
1329,920,200910,5899
1330,696,200910,5055
1331,705,200910,9082
1332,292,200910,7740
1333,77,200910,10297
1334,335,200910,15988
1335,291,200910,2270
1336,801,200910,7659
1337,550,200910,13903
1338,20,200910,8010
1339,53,200910,1571
1340,336,200910,13959
1341,917,200910,9212
1342,302,200910,3730
1343,328,200910,9132
1344,792,200910,6116
1345,701,200910,14351
1346,537,200910,19060
1347,313,200910,7686
1348,789,200910,13910
1349,322,200910,1815
1350,321,200910,19333
1351,312,200910,4827
1352,80,200910,10610
1353,793,200910,465
1354,532,200910,14119
1355,538,200910,19404
1356,52,200910,16712
1357,323,200910,815
1358,962,200910,3230
1359,314,200910,4350
1360,533,200910,679
1361,320,200910,3051
1362,791,200910,1639
1363,534,200910,15399
1364,317,200910,1981
1365,902,200910,14963
1366,19,200910,1616
1367,535,200910,7295
